Date,geral,alimentos,habitacao,artigos_residencia,vestuario,transporte,comunicacao,saude,gastos_pessoais,educacao
08/2008,0.28,-0.18,0.77,0.23,0.39,0.06,0.69,0.32,0.73,0.42
09/2008,0.26,-0.27,0.5,0.37,0.7,0.39,-0.12,0.46,0.8,-0.05
10/2008,0.45,0.69,0.62,0.4,1.27,0.02,0.17,0.26,0.68,0.02
11/2008,0.36,0.61,0.43,0.68,0.71,-0.02,0.13,0.33,0.5,0.05
12/2008,0.28,0.36,0.28,-0.04,0.99,-0.03,0,0.32,0.59,0.08
01/2009,0.48,0.75,0.49,0.45,0.05,0.35,0.05,0.55,0.65,0.34
02/2009,0.55,0.27,0.22,0.28,-0.24,0.24,0.15,0.46,0.31,4.77
03/2009,0.2,0.3,0.25,0.48,0.7,-0.07,0.05,0.37,0.35,-0.37
04/2009,0.48,0.15,0.75,-0.5,1.08,-0.21,0.08,1.1,2.14,0.09
05/2009,0.47,0.44,0.72,0.05,1.16,-0.18,-0.01,0.68,1.57,0.03
06/2009,0.36,0.7,0.27,0.84,0.53,0.02,-0.16,0.49,0.49,0.03
07/2009,0.24,-0.06,1.11,0.37,-0.01,0.14,-0.1,0.31,0.26,0.11
08/2009,0.15,-0.01,0.47,-0.24,0.13,-0.11,-0.02,0.21,0.27,0.83
09/2009,0.24,-0.14,0.62,-0.03,0.58,0.27,0.22,0.3,0.52,0.07
10/2009,0.28,-0.09,0.28,0.38,0.64,0.51,0.91,0.3,0.2,0.04
11/2009,0.41,0.58,0.19,0.43,0.58,0.61,0.01,0.24,0.55,0.01
12/2009,0.37,0.24,0.17,0.51,0.76,0.78,-0.11,0.24,0.46,0.1
01/2010,0.75,1.13,0.27,0.41,0.31,1.45,0,0.36,0.78,0.26
02/2010,0.78,0.96,0.31,0.36,-0.52,0.79,0.03,0.23,0.4,4.53
03/2010,0.52,1.55,0.32,1,0.66,-0.54,0.08,0.27,0.77,0.54
04/2010,0.57,1.45,0.08,-0.04,1.28,-0.08,-0.03,0.84,0.66,0.11
05/2010,0.43,0.28,0.78,0.59,0.91,0.09,-0.01,0.74,0.75,0.04
06/2010,0,-0.9,0.4,0.35,0.58,-0.21,0.02,0.57,0.74,0.03
07/2010,0.01,-0.76,0.54,0.29,-0.04,0.08,0,0.31,0.54,-0.03
08/2010,0.04,-0.24,0.23,-0.31,0.17,-0.09,-0.03,0.26,0.2,0.44
09/2010,0.45,1.08,0.4,0.46,0.45,0.13,0.04,0.36,0.34,0.08
10/2010,0.75,1.89,0.48,0.37,0.89,0.36,0.29,0.26,0.64,0.02
11/2010,0.83,2.22,0.57,-0.12,1.25,0.13,0.42,0.36,0.74,0.06
12/2010,0.63,1.32,0.49,0.1,1.34,0.29,0.05,0.39,0.57,0.05
01/2011,0.83,1.16,0.61,0.25,0.12,1.55,0.29,0.47,0.83,0.3
02/2011,0.8,0.23,0.32,0.44,-0.25,0.46,0.49,0.31,1.43,5.81
03/2011,0.79,0.75,0.46,0.21,0.56,1.56,0.17,0.45,0.78,1.04
04/2011,0.77,0.58,0.77,-0.62,1.42,1.57,0,0.98,0.57,0.09
05/2011,0.47,0.63,0.97,0.09,1.19,-0.24,0.15,0.73,0.72,0.01
06/2011,0.15,-0.26,0.58,0.42,1.25,-0.61,-0.05,0.67,0.67,0.11
07/2011,0.16,-0.34,0.27,0.03,0.1,0.46,-0.04,0.47,0.49,0.11
08/2011,0.37,0.72,0.32,0.57,0.67,-0.11,-0.06,0.43,0.5,0.17
09/2011,0.53,0.64,0.71,-0.36,0.8,0.78,-0.04,0.34,0.53,0.14
10/2011,0.43,0.56,0.62,-0.2,0.74,0.48,0.13,0.45,0.22,0.07
11/2011,0.52,1.08,0.47,0.05,0.58,0.01,0.39,0.42,0.88,0.02
12/2011,0.5,1.23,0.45,-0.87,0.8,0,0.07,0.44,0.68,0.05
01/2012,0.56,0.86,0.53,0.16,0.07,0.69,0.21,0.3,0.71,0.39
02/2012,0.45,0.19,0.6,0.06,-0.23,-0.33,-0.17,0.7,0.88,5.62
03/2012,0.21,0.25,0.48,-0.4,-0.61,0.16,-0.36,0.38,0.55,0.54
04/2012,0.64,0.51,0.8,-0.79,0.98,0.1,0.46,0.96,2.23,0.04
05/2012,0.36,0.73,0.8,0.17,0.89,-0.58,-0.19,0.66,0.6,-0.01
06/2012,0.08,0.68,0.28,-0.03,0.39,-1.18,-0.01,0.38,0.47,0.06
07/2012,0.43,0.91,0.54,-0.01,0.04,-0.03,0.15,0.36,0.91,0.12
08/2012,0.41,0.88,0.22,0.4,0.19,0.06,-0.01,0.53,0.42,0.51
09/2012,0.57,1.26,0.71,0.18,0.89,-0.08,0.03,0.32,0.73,0.1
10/2012,0.59,1.36,0.38,0.37,1.09,0.24,0.31,0.48,0.1,0.05
11/2012,0.6,0.79,0.64,0.47,0.86,0.68,0.31,0.32,0.53,0.05
12/2012,0.79,1.03,0.63,0.27,1.11,0.75,0.03,0.4,1.6,0.19
01/2013,0.86,1.99,-0.2,1.15,-0.53,0.75,-0.08,0.73,1.55,0.35
02/2013,0.6,1.45,-2.38,0.53,0.55,0.81,0.1,0.65,0.57,5.4
03/2013,0.47,1.14,0.51,0.11,0.15,-0.09,0.13,0.32,0.54,0.56
04/2013,0.55,0.96,0.62,0.63,0.65,-0.19,-0.32,1.28,0.61,0.1
05/2013,0.37,0.31,0.75,0.46,0.84,-0.25,0.08,0.94,0.41,0.06
06/2013,0.26,0.04,0.57,0.12,0.5,0.14,0.19,0.36,0.4,0.18
07/2013,0.03,-0.33,0.57,0.28,-0.39,-0.66,0.2,0.34,1.13,0.11
08/2013,0.24,0.01,0.57,0.89,0.08,-0.06,0.02,0.45,0.39,0.67
09/2013,0.35,0.14,0.62,0.65,0.63,0.44,-0.04,0.46,0.2,0.12
10/2013,0.57,1.03,0.56,0.81,1.13,0.17,0.08,0.39,0.43,0.09
11/2013,0.54,0.56,0.69,0.38,0.85,0.36,0.4,0.41,0.87,0.08
12/2013,0.92,0.89,0.52,0.89,0.8,1.85,0.74,0.41,1,0.05
01/2014,0.55,0.84,0.55,0.49,-0.15,-0.03,0.03,0.48,1.72,0.57
02/2014,0.69,0.56,0.77,1.07,-0.4,-0.05,0.14,0.74,0.69,5.97
03/2014,0.92,1.92,0.33,0.38,0.31,1.38,-1.26,0.43,0.79,0.53
04/2014,0.67,1.19,0.87,0.2,0.47,0.32,0.02,1.01,0.31,0.03
05/2014,0.46,0.58,0.61,1.03,0.84,-0.45,0.11,0.98,0.8,0.13
06/2014,0.4,-0.11,0.55,0.38,0.49,0.37,-0.02,0.6,1.57,0.02
07/2014,0.01,-0.15,1.2,0.86,-0.24,-0.98,-0.79,0.5,0.12,0.04
08/2014,0.25,-0.15,0.94,0.47,-0.15,0.33,0.1,0.41,0.09,0.43
09/2014,0.57,0.78,0.77,0.34,0.57,0.63,0.13,0.33,0.39,0.18
10/2014,0.42,0.46,0.68,0.19,0.62,0.39,-0.05,0.39,0.36,0.11
11/2014,0.51,0.77,0.69,-0.04,0.39,0.43,0.08,0.42,0.48,0.21
12/2014,0.78,1.08,0.51,0,0.85,1.38,0,0.47,0.7,0.07
01/2015,1.24,1.48,2.42,-0.28,-0.69,1.83,0.15,0.32,1.68,0.31
02/2015,1.22,0.81,1.22,0.87,-0.6,2.2,-0.02,0.6,0.86,5.88
03/2015,1.32,1.17,5.29,0.35,0.59,0.46,-1.16,0.69,0.36,0.75
04/2015,0.71,0.97,0.93,0.66,0.91,0.11,0.31,1.32,0.51,0.21
05/2015,0.74,1.37,1.22,0.36,0.61,-0.29,0.17,1.1,0.74,0.06
06/2015,0.79,0.63,0.86,0.72,0.58,0.7,0.34,0.91,1.63,0.2
07/2015,0.62,0.65,1.52,0.86,-0.31,0.15,0.3,0.84,0.61,0
08/2015,0.22,-0.01,0.29,0.37,0.2,-0.27,0.14,0.62,0.75,0.82
09/2015,0.54,0.24,1.3,0.19,0.5,0.71,0.01,0.55,0.33,0.25
10/2015,0.82,0.77,0.75,0.39,0.67,1.72,0.39,0.55,0.57,0.1
11/2015,1.01,1.83,0.76,0.31,0.79,1.08,1.03,0.64,0.52,0.22
12/2015,0.96,1.5,0.49,0.46,1.15,1.36,0.43,0.7,0.57,0.22
01/2016,1.27,2.28,0.81,0.45,-0.24,1.77,0.22,0.81,1.19,0.31
02/2016,0.9,1.06,-0.15,1.01,0.24,0.62,0.66,0.94,0.77,5.9
03/2016,0.43,1.24,-0.64,0.7,0.69,0.16,-1.65,0.78,0.6,0.63
04/2016,0.61,1.09,-0.38,0.26,0.4,0.03,1.47,2.33,0.23,0.2
05/2016,0.78,0.78,1.79,0.63,0.91,-0.58,0.01,1.62,1.35,0.16
06/2016,0.35,0.71,0.63,0.26,0.32,-0.53,0.04,0.83,0.35,0.11
07/2016,0.52,1.32,-0.29,0.53,-0.38,0.4,0.02,0.61,0.7,0.04
08/2016,0.44,0.3,0.3,0.36,0.15,0.27,-0.02,0.8,0.96,0.99
09/2016,0.08,-0.29,0.63,-0.23,0.43,-0.1,0.18,0.33,0.1,0.18
10/2016,0.26,-0.05,0.42,-0.13,0.45,0.75,0.07,0.43,0.01,0.02
11/2016,0.18,-0.2,0.3,-0.16,0.2,0.28,0.27,0.57,0.47,0.06
12/2016,0.3,0.08,-0.59,-0.31,0.32,1.11,0.02,0.49,1.01,0.07
01/2017,0.38,0.35,0.17,-0.1,-0.36,0.77,0.63,0.55,0.45,0.29
02/2017,0.33,-0.45,0.24,0.18,-0.13,0.24,0.66,0.65,0.31,5.04
03/2017,0.25,0.34,1.18,-0.29,-0.12,-0.86,-0.63,0.69,0.52,0.95
04/2017,0.14,0.58,-1.09,-0.28,0.48,-0.06,0.55,1,0.09,0.03
05/2017,0.31,-0.35,2.14,-0.23,0.98,-0.42,0.09,0.62,0.23,0.08
06/2017,-0.23,-0.5,-0.77,-0.07,0.21,-0.52,0.09,0.46,0.33,0.08
07/2017,0.24,-0.47,1.64,-0.23,-0.42,0.34,-0.02,0.37,0.36,-0.02
08/2017,0.19,-1.07,0.57,0.2,0.29,1.53,-0.56,0.41,0.29,0.24
09/2017,0.16,-0.41,-0.12,0.13,0.28,0.79,0.5,0.32,0.56,0.04
10/2017,0.42,-0.05,1.33,-0.39,0.71,0.49,0.4,0.52,0.32,0.06
11/2017,0.28,-0.38,1.27,-0.45,0.1,0.52,0.15,0.34,0.42,0.03
12/2017,0.44,0.54,-0.4,0.03,0.84,1.23,-0.11,0.4,0.42,0.15
01/2018,0.29,0.74,-0.85,0.14,-0.98,1.1,0.11,0.42,0.22,0.22
02/2018,0.32,-0.33,0.22,0.03,-0.38,0.74,0.05,0.38,0.17,3.89
03/2018,0.09,0.07,0.19,0.08,0.33,-0.25,-0.33,0.48,0.05,0.28
04/2018,0.22,0.09,0.17,0.22,0.62,0,-0.07,0.91,0.12,0.08
05/2018,0.4,0.32,0.83,-0.06,0.58,0.4,0.16,0.57,0.11,0.06
06/2018,1.26,2.03,2.48,0.34,-0.16,1.58,0,0.37,0.33,0.02
07/2018,0.33,-0.12,1.54,0.47,-0.6,0.49,0.08,0.07,0.31,-0.08
08/2018,-0.09,-0.34,0.44,0.56,0.19,-1.22,0.03,0.53,0.36,0.25
09/2018,0.48,0.1,0.37,0.11,-0.02,1.69,-0.07,0.28,0.38,0.24
